"u","j378","j395","j410","j430","g","j515","r","j660","i","j861","z","GCs"
19.418,19.458,19.296,18.219,17.939,17.208,17.115,16.264,16.119,15.908,15.812,15.758,"0"
18.033,17.916,17.802,17.345,17.264,16.969,16.835,16.573,16.53,16.444,16.464,16.43,"0"
21.626,20.468,20.834,20.486,20.025,19.143,19.113,17.871,17.547,17.125,16.87,16.784,"0"
22.332,22.003,21.907,23.677,22.163,22.154,20.83,20.27,19.831,19.247,18.844,18.82,"0"
21.467,21.236,20.614,19.968,19.525,18.949,18.71,17.791,17.594,17.262,17.108,17.008,"0"
23.824,22.298,21.976,21.548,20.841,20.315,20.065,19.011,18.7,18.391,18.171,18.079,"0"
18.747,18.773,18.601,17.838,17.813,17.254,17.07,16.634,16.558,16.404,16.376,16.323,"0"
22.96,21.878,22.08,21.104,24.373,22.507,22.029,21.061,21.648,20.469,20.004,20.162,"0"
20.101,20.3,20.05,20.018,19.879,19.545,19.381,19.079,19.078,18.952,18.88,18.885,"0"
23.363,21.52,22.608,21.406,23.233,21.265,21.08,20.971,20.601,20.857,20.721,20.305,"0"
16.658,16.399,16.275,15.774,15.718,15.397,15.241,14.966,14.932,14.818,14.819,14.797,"0"
20.651,20.257,20.135,19.152,18.855,17.912,17.836,16.615,16.367,16.018,15.811,15.732,"0"
23.559,22.556,21.913,20.253,20.23,19.177,19.039,17.831,17.599,17.198,16.962,16.895,"0"
20.112,21.725,20.728,20.497,20.067,19.966,19.788,19.422,19.528,19.189,19.007,19.129,"0"
15.853,15.67,15.589,14.979,14.923,14.536,14.356,14.027,13.956,13.832,13.807,13.786,"0"
16.946,16.669,16.582,16.023,16,15.652,15.507,15.252,15.217,15.116,15.127,15.111,"0"
18.706,18.471,18.389,17.774,17.687,17.208,17.065,16.648,16.582,16.422,16.396,16.34,"0"
20.891,22.065,22.294,21.971,21.708,23.005,23.063,20.923,20.938,19.939,19.558,19.03,"0"
20.441,19.946,19.796,18.992,18.841,18.272,18.21,17.572,17.428,17.311,17.231,17.193,"0"
19.853,20.629,20.454,20.452,20.375,19.908,19.909,19.792,19.771,19.635,19.549,19.478,"0"
